SalesOrderID,SalesOrderDetailID,OrderQty,ProductID,UnitPrice,UnitPriceDiscount,LineTotal,rowguid,ModifiedDate
121774,239866,2,1166,639.67,0.1,1151.406,420043D2-AF6F-4381-80AB-AC57265CB009,2025-11-22 00:00:00.000
121774,239867,3,867,1656.72,0.05,4721.652,496D1FF7-41CB-4434-9D08-59D75B174D07,2025-11-22 00:00:00.000
121774,239868,2,887,394.87,0.05,750.253,5D500A0E-1E6D-45CE-8A09-154CB60A6CD6,2025-11-22 00:00:00.000
121775,239869,1,753,754.63,0.05,716.8985,54923422-9229-428E-9306-DD3D09EC3A02,2025-11-28 00:00:00.000
121776,239870,3,1128,82.02,0.1,221.454,911EED4C-54DA-4FAF-A3E2-A9C16555808F,2025-11-29 00:00:00.000
121777,239871,1,917,99.56,0.0,99.56,280B53DF-4352-4740-B483-5AE2591D3F59,2025-11-26 00:00:00.000
121777,239872,1,839,278.1,0.0,278.1,E40E84AB-0B08-4F27-930B-86F262CF63CD,2025-11-26 00:00:00.000
121777,239873,1,981,2542.32,0.0,2542.32,96ABCFCA-265D-4FE3-A720-29B7A7FF39C4,2025-11-26 00:00:00.000
121777,239874,2,894,89.24,0.0,178.48,4E17C7E0-DC84-471D-9CD5-9C8BDF368EE0,2025-11-26 00:00:00.000
121778,239875,1,1067,11.76,0.0,11.76,8A026902-C310-47FC-953E-9076F2A189B6,2025-11-25 00:00:00.000
121778,239876,3,1045,40.32,0.1,108.864,E70E8827-B017-4DEB-8F32-6FA738AA1B23,2025-11-25 00:00:00.000
121778,239877,3,840,100.67,0.0,302.01,90739FAB-92AA-4DF5-9FB1-5412DB03FE0D,2025-11-25 00:00:00.000
121778,239878,2,1038,1916.85,0.1,3450.33,864CACE1-2CBA-4ED6-81C0-E1DE7B0DACDA,2025-11-25 00:00:00.000
121779,239879,3,882,2994.43,0.0,8983.29,8A753087-6D79-4FDF-B1F3-76342A2BF000,2025-11-27 00:00:00.000
121779,239880,3,877,714.05,0.0,2142.15,AECA7061-26AB-4B81-8050-EDB76A8A65E0,2025-11-27 00:00:00.000
121780,239881,3,1059,119.61,0.0,358.83,F1DCE017-726C-46FE-95F6-5D17E96879AE,2025-11-20 00:00:00.000
121780,239882,3,847,582.47,0.05,1660.0395,F402CCA5-CCC0-4508-9B36-BF6124DD2870,2025-11-20 00:00:00.000
121780,239883,1,1124,1441.06,0.0,1441.06,6AFCFED7-F599-4C23-8EA8-D59DB222B945,2025-11-20 00:00:00.000
121780,239884,2,929,175.97,0.05,334.343,763B3C73-31E6-48C3-A9BE-402D74EF1925,2025-11-20 00:00:00.000
121781,239885,3,824,2195.46,0.1,5927.742,F6315C33-BDE4-4A76-BBBD-293B44B32F99,2025-11-23 00:00:00.000
121781,239886,2,960,19.75,0.1,35.55,41B3D8F3-6298-479E-B623-CDD6CE4DC371,2025-11-23 00:00:00.000
121781,239887,1,1186,56.85,0.05,54.0075,6A764E69-26AA-407E-976B-24A76D849A34,2025-11-23 00:00:00.000
121781,239888,3,1134,64.09,0.0,192.27,DEC39EFD-8442-43EC-8025-70BF66CCACFE,2025-11-23 00:00:00.000
121782,239889,1,1091,332.38,0.0,332.38,14695B1A-6F7F-4429-AE8B-EF93D9F730CD,2025-11-21 00:00:00.000
121782,239890,2,835,71.44,0.1,128.592,24BFC6D5-0D9D-4462-BB78-ADC687ED852B,2025-11-21 00:00:00.000
121783,239891,1,897,291.32,0.05,276.754,01737DC2-41FF-414D-A90F-F30F31A4A31B,2025-11-24 00:00:00.000
121784,239892,3,798,377.68,0.1,1019.736,B2C5D04F-99E2-4657-83B1-1211AA65A454,2025-11-24 00:00:00.000
121784,239893,3,1105,265.94,0.1,718.038,5AFB7840-7687-4E51-AC1B-21E92BA4AFDB,2025-11-24 00:00:00.000
121784,239894,1,803,506.97,0.1,456.273,70CAE7BD-6BFD-4AE9-B734-9BBA273C50F5,2025-11-24 00:00:00.000
121784,239895,1,990,117.28,0.1,105.552,A4C830A1-2672-4A82-B392-FB3778F20229,2025-11-24 00:00:00.000
121785,239896,1,1071,308.46,0.0,308.46,545F2FB1-3467-4365-88D6-2F9ECAC90323,2025-11-27 00:00:00.000
121785,239897,3,1012,94.47,0.05,269.2395,EBE1A811-5086-457F-A6B1-4506AAA42CEA,2025-11-27 00:00:00.000
121785,239898,3,696,2250.21,0.05,6413.0985,EE05E712-3AD9-4D9E-AFD9-0D621367C40C,2025-11-27 00:00:00.000
121786,239899,2,1042,90.89,0.0,181.78,477ACA87-5FF7-472F-9994-7412F0F22310,2025-11-25 00:00:00.000
121786,239900,1,740,717.84,0.05,681.948,55B29A90-CA6B-4AE9-B7C2-F8C16AD4958E,2025-11-25 00:00:00.000
121786,239901,2,797,86.09,0.1,154.962,6D5932DD-5594-4F63-AB2D-693951AB3E20,2025-11-25 00:00:00.000
121787,239902,3,947,19.04,0.0,57.12,5220ED78-7BD5-49DB-9659-239088DAC8F6,2025-11-25 00:00:00.000
121788,239903,2,1027,94.62,0.05,179.778,AE176782-2EC7-4B4A-87D0-246B7D6B71F2,2025-11-22 00:00:00.000
121788,239904,3,1096,302.68,0.1,817.236,F8D4F158-5251-48E9-A0EF-63044F6C0C34,2025-11-22 00:00:00.000
121789,239905,3,1002,39.74,0.0,119.22,17963B3C-510E-4824-9AEB-C2263DA557B4,2025-11-20 00:00:00.000
121789,239906,1,940,55.52,0.1,49.968,999371BB-E177-4725-9FAF-A548329B194E,2025-11-20 00:00:00.000
121790,239907,1,965,75.67,0.1,68.103,78442B51-D715-4B05-A3B4-467C48E8BBA4,2025-11-20 00:00:00.000
121790,239908,3,1090,622.55,0.1,1680.885,0CCD27A0-0717-4955-BD21-F7B51BAFB250,2025-11-20 00:00:00.000
121790,239909,1,858,72.39,0.0,72.39,A2E2E6FA-2087-48F7-8D97-5C4A851566EE,2025-11-20 00:00:00.000
